t,meter_12,meter_4
2015-07-01 00:00:00,1048.04,1235.22
2015-07-01 00:01:00,1021.77,7828.69
2015-07-01 00:02:00,1016.98,7685.08
2015-07-01 00:03:00,1010.69,8002.72
2015-07-01 00:04:00,1043.17,8127.82
2015-07-01 00:05:00,926.635,13993.3
2015-07-01 00:06:00,896.353,13602.9
2015-07-01 00:07:00,1039.44,1836.97
2015-07-01 00:08:00,1080.17,1773.54
2015-07-01 00:09:00,1044.67,1900.41
2015-07-01 00:10:00,1082.25,1835.94
2015-07-01 00:11:00,10847.1,1900.52
2015-07-01 00:12:00,10806.8,2035.69
2015-07-01 00:13:00,10769.6,2025.29
2015-07-01 00:14:00,10782.0,1883.88
2015-07-01 00:15:00,10771.7,1936.91
2015-07-01 00:16:00,10789.8,8293.1
2015-07-01 00:17:00,10803.2,8284.83
2015-07-01 00:18:00,11058.4,8686.5
2015-07-01 00:19:00,11056.3,8552.3
2015-07-01 00:20:00,1202.32,2169.68
2015-07-01 00:21:00,1192.92,2245.57
2015-07-01 00:22:00,1235.73,2548.01
2015-07-01 00:23:00,1264.96,2476.3
2015-07-01 00:24:00,1307.76,2633.22
2015-07-01 00:25:00,1264.96,2349.51
2015-07-01 00:26:00,1292.05,12316.1
2015-07-01 00:27:00,1262.82,12100.1
2015-07-01 00:28:00,1269.09,12281.1
2015-07-01 00:29:00,1264.91,12105.3
2015-07-01 00:30:00,1289.96,12312.0
2015-07-01 00:31:00,1260.74,11959.2
2015-07-01 00:32:00,1275.32,18516.7
2015-07-01 00:33:00,1288.89,18486.0
2015-07-01 00:34:00,1711.62,8997.38
2015-07-01 00:35:00,1771.1,9106.77
2015-07-01 00:36:00,1764.88,2595.82
2015-07-01 00:37:00,1562.41,8152.7
2015-07-01 00:38:00,1520.67,8137.5
2015-07-01 00:39:00,1386.05,2076.12
2015-07-01 00:40:00,1397.53,2038.7
2015-07-01 00:41:00,1405.88,2231.02
2015-07-01 00:42:00,1417.36,2081.32
2015-07-01 00:43:00,1391.26,2201.91
2015-07-01 00:44:00,1338.03,1955.52
2015-07-01 00:45:00,1208.58,1939.92
2015-07-01 00:46:00,1140.72,1623.78
2015-07-01 00:47:00,1090.61,1657.06
2015-07-01 00:48:00,1215.86,8384.16
2015-07-01 00:49:00,1476.82,8397.61
2015-07-01 00:50:00,1475.77,8410.01
2015-07-01 00:51:00,1450.73,8269.58
2015-07-01 00:52:00,1373.49,8370.77
2015-07-01 00:53:00,1308.8,1495.84
2015-07-01 00:54:00,1308.8,1598.82
2015-07-01 00:55:00,1288.97,1625.86
2015-07-01 00:56:00,1308.8,1557.22
2015-07-01 00:57:00,1288.97,1591.54
2015-07-01 00:58:00,1264.96,1335.64
2015-07-01 00:59:00,1202.32,1257.61
2015-07-01 01:00:00,1143.86,1065.11
2015-07-01 01:01:00,1161.6,1121.3
2015-07-01 01:02:00,11226.4,1543.79
2015-07-01 01:03:00,11269.1,11238.4
2015-07-01 01:04:00,11298.0,11453.5
2015-07-01 01:05:00,11287.2,17852.0
2015-07-01 01:06:00,11173.6,18105.5
2015-07-01 01:07:00,11143.6,17940.0
2015-07-01 01:08:00,11150.8,18094.3
2015-07-01 01:09:00,11145.1,11721.7
2015-07-01 01:10:00,1270.13,12071.2
2015-07-01 01:11:00,1280.6,7985.24
2015-07-01 01:12:00,1280.6,7932.68
2015-07-01 01:13:00,1260.78,2046.75
2015-07-01 01:14:00,1266.0,1841.9
2015-07-01 01:15:00,1128.19,1894.94
2015-07-01 01:16:00,1298.36,1999.96
2015-07-01 01:17:00,7033.41,2138.32
2015-07-01 01:18:00,7027.55,1986.52
2015-07-01 01:19:00,1270.16,7037.58
2015-07-01 01:20:00,1139.66,6713.21
2015-07-01 01:21:00,937.091,8268.81
2015-07-01 01:22:00,905.765,7691.06
2015-07-01 01:23:00,886.968,7872.9
2015-07-01 01:24:00,783.579,7720.0
2015-07-01 01:25:00,794.032,6128.79
2015-07-01 01:26:00,835.806,6435.89
2015-07-01 01:27:00,850.437,1350.2
2015-07-01 01:28:00,841.038,1509.36
2015-07-01 01:29:00,875.501,1394.94
2015-07-01 01:30:00,1009.16,1815.14
2015-07-01 01:31:00,984.104,1820.34
2015-07-01 01:32:00,984.104,1803.7
2015-07-01 01:33:00,979.927,1791.22
2015-07-01 01:34:00,950.689,1744.42
2015-07-01 01:35:00,966.352,2191.51
2015-07-01 01:36:00,959.042,2013.74
2015-07-01 01:37:00,992.399,18308.6
2015-07-01 01:38:00,1071.75,18431.2
2015-07-01 01:39:00,1192.85,18402.4
2015-07-01 01:40:00,1244.0,18918.1
2015-07-01 01:41:00,1308.72,22922.8
2015-07-01 01:42:00,1351.52,23131.9
2015-07-01 01:43:00,1421.46,18294.7
2015-07-01 01:44:00,1526.89,12821.5
2015-07-01 01:45:00,1507.06,12699.2
2015-07-01 01:46:00,11369.7,2569.99
2015-07-01 01:47:00,11322.0,7555.12
2015-07-01 01:48:00,11228.0,7208.09
2015-07-01 01:49:00,11226.2,2452.55
2015-07-01 01:50:00,11211.7,2354.85
