# file...... out_power_meter4.csv
# date...... Tue Oct 30 21:25:21 2018
# user...... rivetta
# host...... (null)
# target.... meter 592
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power.real, measured_power.imag
2015-07-01 00:00:00 UTC,+32352.6,+1391.24
2015-07-01 00:01:00 UTC,+32222,+1330.71
2015-07-01 00:02:00 UTC,+32251,+1354.92
2015-07-01 00:03:00 UTC,+32569.5,+1533.1
2015-07-01 00:04:00 UTC,+32689.2,+1606.14
2015-07-01 00:05:00 UTC,+32731.9,+1631.6
2015-07-01 00:06:00 UTC,+38870,+1859.89
2015-07-01 00:07:00 UTC,+39494.2,+2200.9
2015-07-01 00:08:00 UTC,+39430.9,+2166.31
2015-07-01 00:09:00 UTC,+39557.4,+2235.49
2015-07-01 00:10:00 UTC,+39493.1,+2200.33
2015-07-01 00:11:00 UTC,+33030.7,+1790.87
2015-07-01 00:12:00 UTC,+33166.4,+1863.3
2015-07-01 00:13:00 UTC,+33156,+1857.73
2015-07-01 00:14:00 UTC,+33014,+1781.95
2015-07-01 00:15:00 UTC,+33067.2,+1810.36
2015-07-01 00:16:00 UTC,+32879.2,+1710.1
2015-07-01 00:17:00 UTC,+32870.9,+1705.65
2015-07-01 00:18:00 UTC,+39802.1,+2369.4
2015-07-01 00:19:00 UTC,+39667.4,+2295.63
2015-07-01 00:20:00 UTC,+39825.9,+2382.45
2015-07-01 00:21:00 UTC,+39901.6,+2423.9
2015-07-01 00:22:00 UTC,+40203.1,+2589.18
2015-07-01 00:23:00 UTC,+33609.1,+2099.78
2015-07-01 00:24:00 UTC,+40288.1,+2635.78
2015-07-01 00:25:00 UTC,+40005.2,+2480.68
2015-07-01 00:26:00 UTC,+40179.3,+2576.11
2015-07-01 00:27:00 UTC,+39962.6,+2456.81
2015-07-01 00:28:00 UTC,+40145,+2556.78
2015-07-01 00:29:00 UTC,+33443.2,+2011.03
2015-07-01 00:30:00 UTC,+33653.1,+2123.19
2015-07-01 00:31:00 UTC,+33295,+1931.84
2015-07-01 00:32:00 UTC,+33347.2,+1959.72
2015-07-01 00:33:00 UTC,+33315.9,+1942.99
2015-07-01 00:34:00 UTC,+33592.5,+2090.81
2015-07-01 00:35:00 UTC,+33703.2,+2149.98
2015-07-01 00:36:00 UTC,+33729.2,+2163.96
